GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
financial_system,imd.ufrn,App,7,0,0,0,4,0,2,0,2,0
financial_system,imd.ufrn,FinancialDataAnalysis,191,0,22,0,35,0,15,0,4,0
financial_system,imd.ufrn,SecurityService,153,0,30,0,29,0,19,0,4,0
